,$,フリガナ,フリガナ2,属性ラベル,,,Word,フリガナ,フリガナ2,属性ラベル
,,,,,,,マージ,マージ,,その他
,,,,,,,ブラザー,ブラザー,,組織名
,,,,,,,広沢さん,ヒロサワサン,,人名
,,,,,,,石井さん,イシイサン,,人名
,,,,,,,大井電気,オオイデンキ,,組織名
,,,,,,,新さん,アラタサン,,人名
,,,,,,,羽鳥さん,ハトリサン,,人名
,,,,,,,オオイテクノ,オオイテクノ,,組織名
,,,,,,,日本フィールド・エンジニアリング,二ホンフィールドエンジニアリング,,組織名
,,,,,,,日本テクニカル・サービス,二ホンテクニカルサービス,,組織名
,,,,,,,ケーブルテレビ,ケーブルテレビ,,製品名
,,,,,,,Coin Post,コインポスト,,その他
,,,,,,,日本事務器株式会社,ニホンジムキカブシキガイシャ,,組織名
,,,,,,,OmniJoin,オムニジョイン,,その他
,,,,,,,ex,イーエックス,,その他
,,,,,,,渉さん,ワタルサン,,人名
,,,,,,,ディスコードサーバー,ディスコードサーバー,,その他
,,,,,,,日本アビオニクス,二ホンアビオニクス,,組織名
,,,,,,,サンコーシヤ,サンコーシヤ,,組織名
,,,,,,,日本アンテナ,二ホンアンテナ,,組織名
,,,,,,,オーイズミ,オーイズミ,,組織名
,,,,,,,DX,ディーエックス,,その他
,,,,,,,小倉さん,オグラサン,,人名
,,,,,,,東光高岳,トウコウタカオカ,,組織名
,,,,,,,東京大学,トーキョーダイガク,,組織名
,,,,,,,官公庁,カンコーチョー,,組織名
,,,,,,,GigaCC,ギギガシーシー,,製品名
,,,,,,,ポケットベル,ポケットベル,ポケベル,製品名
,,,,,,,PHS,ピーエイチエス,,製品名
,,,,,,,侑紀さん,ゆうきさん,,人名
,,,,,,,日本航空技術協会,二ホンコークーギジュツキョーカイ,,組織名
,,,,,,,Wi-Fi,ワイファイ,,その他
,,,,,,,フリーWi-Fi,フリーワイファイ,,その他
,,,,,,,Beacapp Here,ビーキャップヒヤ,,その他
,,,,,,,GPS,ジーピーエス,グローバル・ポジショニング・システム,その他
,,,,,,,RPU,アールピーユー,,製品名
,,,,,,,RPA,アールピーエー,ロボティック・プロセス・オートメーション,その他
,,,,,,,TG電気,ティージーデンキ,,その他
,,,,,,,水沢,ミズサワ,,地名
,,,,,,,岩手県,イワテケン,,地名
,,,,,,,ISO,アイエスオー,,その他
,,,,,,,Google Glass,グーグルグラス,,製品名
,,,,,,,VPN,ヴィーピーエヌ,ブイピーエヌ,その他
,,,,,,,SFA,エスエフエー,セールス・フォース・オートメーション,その他
,,,,,,,Outlook,アウトルック,,その他
,,,,,,,オーセンティック,オーセンティック,,組織名
,,,,,,,Akerun,アケルン,,製品名
,,,,,,,３６５,サンロクゴ,,製品名
,,,,,,,36協定,サブロクキョーテイ,,その他
,,,,,,,パナソニック,パナソニック,,組織名
,,,,,,,eSmileCall,イースマイルコール,,製品名
,,,,,,,kintone,キントーン,,製品名
,,,,,,,恵美さん,エミサン,,人名
,,,,,,,5G,ファイブジー,,その他
,,,,,,,村上,ムラカミ,,地名
,,,,,,,新潟,ニイガタ,,地名
,,,,,,,すずらんクリニック,スズランクリニック,,組織名
,,,,,,,都築電機,ツヅキデンキ,,組織名
,,,,,,,DUNS,ダンズ,,その他
,,,,,,,富士航空,フジコークー,,組織名
,,,,,,,ハイエンド６,ハイエンドシックス,,その他
,,,,,,,Relay 2,リレイツー,,製品名
,,,,,,,IoT,アイオーティー,,その他
,,,,,,,メンタリング・プログラム,メンタリング・プログラム,,その他
,,,,,,,サンフランシスコ,サンフランシスコ,,地名
,,,,,,,ボストン,ボストン,,地名
,,,,,,,冷水さん,ヒヤミズサン,,人名
,,,,,,,CIC,シーアイシー,ケンブリッジ・イノベーション・センター,組織名
,,,,,,,USマック,ユーエスマック,,組織名
,,,,,,,粟田さん,アワタサン,,人名
,,,,,,,水沢江刺,ミミズサワエサシ,,地名
,,,,,,,JALカード,ジャルカード,,製品名
,,,,,,,東京,トーキョー,,地名
,,,,,,,山本さん,ヤマモトサン,,人名
,,,,,,,計良さん,ケラサン,,人名
,,,,,,,喜多さん,キタサン,,人名
,,,,,,,寺澤さん,テラサワサン,,人名
,,,,,,,高度急性期,コウドキュウセイキ,,その他
,,,,,,,ADI,エーディーアイ,,その他
,,,,,,,片桐,カタギリ,,人名
,,,,,,,ブンナビ,ブンナビ,,組織名
,,,,,,,メディナス,メディナス,,組織名
,,,,,,,マイナビ,マイナビ,,組織名
,,,,,,,マモリナ,マモリナ,,製品名
,,,,,,,SFcapital,スエフキャピタル,,組織名
,,,,,,,グローバル・アクセラレーション・ハブ,グローバル・アクセラレーション・ハブ,,その他
,,,,,,,XR,エックスアール,,その他
,,,,,,,PowerPoint,パワーポイント,,製品名
,,,,,,,リクルート,リクルート,,組織名
,,,,,,,３Dビュー,スリーディービュー,,その他
,,,,,,,ストリーミング,ストリーミング,,その他
,,,,,,,Matterport,マターポート,マーターポート,その他
,,,,,,,JETRO,ジェトロ,,組織名
,,,,,,,メンローパーク,メンローパーク,,地名
,,,,,,,マウンテンビュー,マウンテンビュー,,地名
,,,,,,,フィナンシャル・ディストリクト,フィナンシャル・ディストリクト,,地名
,,,,,,,ミッション,ミッション,,地名
,,,,,,,サンマテオ,サンマテオ,,地名
,,,,,,,志田,シダ,,人名
,,,,,,,USMAC,ユーエスマック,,組織名
,,,,,,,島,シマ,,人名
,,,,,,,合説,ゴウセツ,,その他
,,,,,,,二十四卒,ニジュウヨンソツ,,その他
,,,,,,,東部医療センター,トウブイリョウセンター,,組織名
,,,,,,,西部医療センター,セイブイリョウセンター,,組織名
,,,,,,,Eビザ,イービザ,,その他
,,,,,,,緑市民病院,ミドリシミンビョウイン,,組織名
,,,,,,,PV数,ピーブイスウ,,その他
,,,,,,,UU数,ユーユースウ,,その他
,,,,,,,松本看護部長,マツモトカンゴブチョウ,,人名
,,,,,,,ボラレエポス,ボラレエポス,,組織名
,,,,,,,庄司,ショウジ,,人名
,,,,,,,Amazon Alexa,アマゾンアレクサ,,製品名
,,,,,,,Siri,シリ,,製品名
,,,,,,,改正通報者公益保護法,カイセイツウホウシャコウエキホゴホウ,,その他
,,,,,,,ISS認証,アイエスエスニンショウ,,その他
,,,,,,,内部通報制度,ナイブツウホウセイド,,その他
,,,,,,,臨床心理士,リンショウシンリシ,リンショーシンリシ,その他
,,,,,,,精神保健福祉士,セイシンホケンフクシシ,,その他
,,,,,,,遠州チップ,エンシュウチップ,,組織名
,,,,,,,遠州フォレストエナジー,エンシュウフォレストエナジー,,組織名
,,,,,,,シリコンバレー,シリコンバレー,,地名
,,,,,,,ディスラプト,ディスラプト,,その他
,,,,,,,富士桜,フジザクラ,フジサクラ,組織名
,,,,,,,アクセラレーションプログラム,アクセラレーションプログラム,,その他
,,,,,,,Techstars,テックスターズ,テックスター,組織名
,,,,,,,アルケミスト,アルケミスト,,組織名
,,,,,,,SkyDeck,スカイデック,スカイデッキ,組織名
,,,,,,,ディープテック,ディープテック,,その他
,,,,,,,ロボティクス,ロボティクス,,その他
,,,,,,,ドメイン,ドメイン,,その他
,,,,,,,ウィジェット,ウィジェット,,その他
,,,,,,,TechCrunch Disrupt,テッククランチディスラプト,,その他
,,,,,,,コンサルタント,コンサルタント,コンサル,その他
,,,,,,,つぶつぶ,ツブツブ,,組織名
,,,,,,,ロート製薬,ロートセイヤク,,組織名
,,,,,,,こんぷろカスタム,コンプロカスタム,,その他
,,,,,,,GTM,ジーティーエム,,製品名
,,,,,,,ヨーロッパ,ヨーロッパ,,地名
,,,,,,,パリ,パリ,,地名
,,,,,,,アジア,アジア,,地名
,,,,,,,ニューヨーク,ニューヨーク,,地名
,,,,,,,北米,ホクベー,,地名
,,,,,,,EXIT,エグジット,イグジット,その他
,,,,,,,八戸,ハチノヘ,,人名
,,,,,,,TOC,ティーオーシー,,その他
,,,,,,,BtoBtoC,ビートゥービートゥーシー,,その他
,,,,,,,Global Scaleコース,グローバルスケールコース,,その他
,,,,,,,Global Preparationコース,グローバルプレパレーションコース,,その他
,,,,,,,UQ,ユーキュー,,製品名
,,,,,,,Enterprise,エンタープライズ,,その他
,,,,,,,木島,キジマ,,人名
,,,,,,,宇佐美,ウサミ,,人名
,,,,,,,新宮,シングウ,,地名
,,,,,,,PFU,ピーエフユー,,組織名
,,,,,,,タイムスタンプ,タイムスタンプ,,製品名
,,,,,,,池田さん,イケダサン,,人名
,,,,,,,biz,ビズ,,その他
,,,,,,,モバイルsuica,モバイルスイカ,,製品名
,,,,,,,モバイルPASMO,モバイルパスモ,,製品名
,,,,,,,Moneytree,マネーツリー,,製品名
,,,,,,,吉良さん,キラサン,,人名
,,,,,,,マネーフォワード,マネーフォワード,,組織名
,,,,,,,日下,クサカ,,人名
,,,,,,,タイムズ,タイムズ,,その他
,,,,,,,OCR,オーシーアール,,製品名
,,,,,,,らくらく,ラクラク,,組織名
,,,,,,,Concur,コンカー,,組織名
,,,,,,,真鍋,マナベ,,人名
,,,,,,,浦山,ウラヤマ,,人名
,,,,,,, LINE CLOVA,ラインクローバー,,組織名
,,,,,,,Mac,マック,,製品名
,,,,,,,GM,ジーエム,,その他
,,,,,,,伊藤,イトウ,,人名
,,,,,,,間山,マヤマ,,人名
,,,,,,,TEAM OF TEAMS,チームオブチームス,チーム・オブ・チームズ,製品名
,,,,,,,コージェントラボ,コージェントラボ,,組織名
,,,,,,,茜,アカネ,,人名
,,,,,,,峯藤,ミネフジ,,人名
,,,,,,,北村,キタムラ,,人名
,,,,,,,首藤,シュドー,,人名
,,,,,,,中国,チューゴク,,地名
,,,,,,,今島,イマシマ,,人名
,,,,,,,岡松,オカマツ,,人名
,,,,,,,敦,アツシ,,人名
,,,,,,,Zendesk,ゼンデスク,,製品名
,,,,,,,村山,ムムラヤマ,,人名
,,,,,,,カウンセリングオンライン,カウンセリングオンライン,,製品名
,,,,,,,Coachat,コーチャット,,組織名
,,,,,,,ドラゴンボール,ドラゴンボール,,その他
,,,,,,,スカウター,スカウター,,その他
,,,,,,,横河電機,ヨコカワデンキ,,組織名
,,,,,,,ワークス,ワークス,,組織名
,,,,,,,タスク,タスク,,組織名
,,,,,,,PERSOL,パーソル,,組織名
,,,,,,,BBIZUTTO,ビズット,,組織名
,,,,,,,聴くトレ,キクトレ,,製品名
,,,,,,,安全自動車,アンゼンジドウシャ,,組織名
,,,,,,,駅すぱあと,エキスパアト,,製品名
,,,,,,,楽天Edy,ラクテンエディー,,製品名
,,,,,,,STM,エスティーエム,,その他
,,,,,,,STMレコーダー,エスティーエムレコーダー,,製品名
,,,,,,,名古屋市立大学,ナゴヤシリツダイガク,,組織名
,,,,,,,豊橋市民病院,トヨハシシミンビョーイン,,組織名
,,,,,,,豊川市民病院,トヨカワシミンビョーイン,,組織名
,,,,,,,YeLL,エール,,組織名
,,,,,,,名古屋市立大学病院,ナゴヤシリツダイガクビョウン,,組織名
,,,,,,,奈良,ナラ,,地名
,,,,,,,紀伊半島,キイハントウ,,地名
,,,,,,,和歌山,ワカヤマ,,地名
,,,,,,,三重,ミエ,,地名
,,,,,,,愛知県,アイチケン,,地名
,,,,,,,Yahoo!,ヤフー,,組織名
,,,,,,,ナース専科,ナースセンカ,,その他
,,,,,,,東海,トウカイ,,地名
,,,,,,,ウインクあいち,ウインクアイチ,,その他
,,,,,,,YeLLライト,エールライト,,製品名
,,,,,,,三菱重工業,ミツビシジュウコウギョウ,,組織名
,,,,,,,刈谷,カリヤ,,人名
,,,,,,,OS,オーエス,,製品名
,,,,,,,ai,アイー,,製品名
,,,,,,,Edge,エッジ,,製品名
,,,,,,,志村,シムラ,,人名
,,,,,,,ブレイクアウトルーム,ブレイクアウトルーム,,その他
,,,,,,,ブレイクアウトセッション,ブレイクアウトセッション,,その他
,,,,,,,ベストプラクティス,ベストプラクティス,,その他
,,,,,,,志麻,シマ,,人名
,,,,,,,RSpec,アールスペック,,その他
,,,,,,,RoboCop,ロボコップ,,その他
,,,,,,,北畠,キタバタケ,,人名
,,,,,,,HTTPステータスコード,ヘイチピーピーステータスコード,,その他
,,,,,,,TDD,ティーディーディー,,その他
,,,,,,,BDD,ビーディーディー,,その他
,,,,,,,Java,ジャバ,,製品名
,,,,,,,JUnit,ジェイユニット,,製品名
,,,,,,,Webex,ウェブエックス,,製品名
,,,,,,,Cisco,シスコ,,組織名
,,,,,,,島根,シマネケン,,地名
,,,,,,,Volter,ボルタ―,ボルタ,製品名
,,,,,,,平取町,ビラトリチョウ,,地名
,,,,,,,アイランドモード,アイランドモード,,その他
,,,,,,,高砂熱学,タカサゴネツガク,,組織名
,,,,,,,つくば,ツクバ,,地名
,,,,,,,ダイヤルサービスレコーダー,ダイヤルサービスレコーダー,,その他
,,,,,,,テスラ,テスラ,,組織名
,,,,,,,エイチツー,エイチツー,,その他
,,,,,,,日本クレアス社会保険労務士法人,ニホンクレアスシャカイロウムシホウジン,,組織名
,,,,,,,パワハラ防止法,パワハラボーシホー,,その他
,,,,,,,TBC,ティービーシー,,組織名
,,,,,,,楽楽精算,ラクラクセイサン,,製品名
,,,,,,,ホットライン,ホットライン,,その他
,,,,,,,サイクロス,サイクロス,,製品名
,,,,,,,ECOAS,エコーズ,,製品名
,,,,,,,オフグリッドユニット,オフグリッドユニット,,製品名
,,,,,,,固定価格買い取り制度,コテイカカクカイトリセイド,,その他
,,,,,,,ハラスメント・人間関係ホットライン,ハラスメントニンゲンカンケイホットライン,,その他
,,,,,,,EV,イーブイ,,製品名
,,,,,,,北海道,ホッカイドウ,,地名
,,,,,,,産業カウンセラー,サンギョーカウンセラー,,その他
,,,,,,,ナスキー,ナスキー,,その他
,,,,,,,AIマッチング,エーアイマッチング,,製品名
,,,,,,,鳩谷さん,ハトヤサン,,人名
,,,,,,,上北さん,ウエキタサン,,人名
,,,,,,,JAL,ジャル,,組織名
,,,,,,,PNG,ピング,,その他
,,,,,,,FAQ,エフエーキュウ,,その他
,,,,,,,SP,エスピー,,その他
,,,,,,,FF,エフエフ,,その他
,,,,,,,ゆきみさん,ユキミサン,,
,,,,,,,国領さん,コクリョウサン,,人名
,,,,,,,北条さん,ホウジョウさん,,人名
,,,,,,,農業総合研究所,ノウギョウソウゴウケンキュウジョ,,組織名
,,,,,,,大井町,オオイマチ,,地名
,,,,,,,デジタルガレージ,デジタルガレージ,,組織名
,,,,,,,ベンチャーキャピタル,ベンチャーキャピタル,,その他
,,,,,,,カーボンクレジット,カーボンクレジット,,その他
,,,,,,,東京センチュリー,トーキョーセンチュリー,トウキョウセンチュリー,組織名
,,,,,,,セイホク,セイホク,,組織名
,,,,,,,秋田プライウッド,アキタプライウッド,,組織名
,,,,,,,バイオマスボイラー,バイオマスボイラー,,製品名
,,,,,,,CHP,シーエイチピー,,その他
,,,,,,,ネポン,ネポン,,組織名
,,,,,,,バイオマス,バイオマス,,その他
,,,,,,,久保さん,クボサン,,人名
,,,,,,,津和野町,ツワノチョウ,,地名
,,,,,,,町役場,マチヤクバ,,組織名
,,,,,,,ファイナンスクローズ,ファイナンスクローズ,,その他
,,,,,,,川田さん,カワタサン,,人名
,,,,,,,モンベル品川店,モンベルシナガワテン,,組織名
,,,,,,,やまとわ,ヤマトワ,,組織名
,,,,,,,乗鞍高原ゼロカーボンパーク,ノリクラコウゲンゼロカーボンパーク,,組織名
,,,,,,,エル4,エルヨン,,その他
,,,,,,,エネット,エネット,,組織名
,,,,,,,アノードエナジー,アノードエナジー,,組織名
,,,,,,,ティージェーグループ,ティージェーグループ,,組織名
,,,,,,,ティージェーグループホールディングス,ティージェーグループホールディングス,,組織名
,,,,,,,グリーンパワー大東,グリーンパワーダイトウ,,組織名
,,,,,,,最終保障供給,サイシュウホジョウキョウキュウ,,その他
,,,,,,,関西電力送配電,カンサイデンリョクソウハイデン,,組織名
,,,,,,,前田商行,マエダショウコウ,,組織名
,,,,,,,T4プラス,ティーフォープラス,,製品名
,,,,,,,ペレット,ペレット,,その他
,,,,,,,ユーアールイー,ユナイテッドリニューアブルエナジー,,組織名
,,,,,,,PKS,ピーケーエス,,その他
,,,,,,,丸茂組,マルシゲグミ,,組織名
,,,,,,,堀川林業,ホリカワリンギョウ,,組織名
,,,,,,,北日本索道,キタニホンサクドウ,,組織名
,,,,,,,ダイセン,ダイセン,,組織名
,,,,,,,能代運輸,ノシロウンユ,,組織名
,,,,,,,新東海製紙,シントウカイセイシ,,組織名
,,,,,,,王子製紙,オウジセイシ,,組織名
,,,,,,,大王製紙,ダイオウセイシ,,組織名
,,,,,,,マルミヤ建設,マルミヤケンセツ,,組織名
,,,,,,,ミズキ林産,ミズキリンサン,,組織名
,,,,,,,中村商会,ナカムラショウカイ,,組織名
,,,,,,,遠州資源クリエイト,エンシュウシゲンクリエイト,,組織名
,,,,,,,生駒,イコマ,,地名
,,,,,,,TJグループホールディングス,ティージェーグループホールディングス,ティージェイグループホールディングス,組織名
,,,,,,,TJホールディングス,ティージェーホールディングス,ティージェイホールディングス,組織名
,,,,,,,古座川,コザガワ,コザカワ,地名
,,,,,,,二酸化炭素排出権クレジット,ニサンカタンソハイシュツケンクレジット,,その他
,,,,,,,J-クレジット,ジェークレジット,ジェイクレジット,その他
,,,,,,,デシカント空調,デシカントクウチョウ,,その他
,,,,,,,BCP対策,ビーシーピータイサク,,その他
,,,,,,,GoogleMap,グーグルマップ,,製品名
,,,,,,,アウトバウンド,アウトバウンド,,その他
,,,,,,,FIT,フィット,,その他
,,,,,,,群馬,グンマ,,地名
,,,,,,,渋川,シブカワ,,地名
,,,,,,,IoT Hub,アイオーティーハブ,,その他
,,,,,,,マスターピース,マスターピース,,組織名
,,,,,,,フィンランド,フィンランド,,地名
,,,,,,,Assert,アサート,,その他
,,,,,,,桜山,サクラヤマ,,地名
,,,,,,,川澄キャンパス,カワスミキャンパス,,組織名
,,,,,,,コンテキスト,コンテキスト,,その他
,,,,,,,名古屋,ナゴヤ,,地名
,,,,,,,東海エリア,トウカイエリア,,地名
,,,,,,,ID,アイディー,,その他
,,,,,,,関東,カントウ,,地名
,,,,,,,理恵,リエ,,人名
,,,,,,,大塚商会,オーツカショーカイ,,組織名
,,,,,,,赤坂,アカサカ,,地名
,,,,,,,青山,アオヤマ,,地名
,,,,,,,霞が関,カスミガセキ,,地名
,,,,,,,吉野,ヨシノ,,地名
,,,,,,,長南町,チョウナンマチ,チョウナンチョウ,地名
,,,,,,,房総半島,ボウソウハントウ,,地名
,,,,,,,横浜,ヨコハマ,,地名
,,,,,,,埼玉,サイタマ,,地名
,,,,,,,千代田化工建設,チヨダカコウケンセツ,,組織名
,,,,,,,日本風力発電株式会社,二ホンフウリョクカイハツカブシキガイシャ,,組織名
,,,,,,,洋上風力発電,ヨウジョウフウリョクハツデン,,その他
,,,,,,,SMILEα,スマイルアルファ,,製品名
,,,,,,,オービック,オービック,,組織名
,,,,,,,弥生,ヤヨイ,,組織名
,,,,,,,PDC ,ピーディーシー,,その他
,,,,,,,ウイルスバスター,ウイルスバスター,,製品名
,,,,,,,エンドポイントセキュリティ,エンドポイントセキュリティ,,その他
,,,,,,,たのめーる,タノメール,,組織名
,,,,,,,HABA,ハーバー,,組織名
,,,,,,,CAD,キャド,,製品名
,,,,,,,虎ノ門,トラノモン,,地名
,,,,,,,吉祥学園,キッショーガクエン,,組織名
,,,,,,,Syncraft,シンクラフト,,製品名
,,,,,,,津軽,ツガル,,地名
,,,,,,,Uber Eats,ウーバーイーツ,,その他
,,,,,,,有森,アリモリ,,人名
,,,,,,,相見積もり,アイミツモリ,,その他
,,,,,,,多摩,タマ,,地名
,,,,,,,トップダウン,トップダウン,,その他
,,,,,,,LA,エルエー,ラージアカウント,組織名
,,,,,,,英語４技能,エイゴヨンギノー,,その他
,,,,,,,POD,ピーオーディー,,その他
,,,,,,,札幌,サッポロ,,地名
,,,,,,,仙台,センダイ,,地名
,,,,,,,中部,チューブ,,地名
,,,,,,,神戸,コーベ,,地名
,,,,,,,京都,キョート,,地名
,,,,,,,広島,シロシマ,,地名
,,,,,,,インセンティブ,インセンティブ,,その他
,,,,,,,きらぼし銀行,キラボシギンコウ,,組織名
,,,,,,,Windows Media Player,ウィンドウズメディアプレーヤー,,製品名
,,,,,,,CNN,シーエヌエヌ,,その他
,,,,,,,CDP,シーディーピー,,その他
,,,,,,,TREASURE,トレジャー,,製品名
,,,,,,,エイチームコネクト,エイチームコネクト,,組織名
,,,,,,,エイチームライフデザイン,エイチームライフデザイン,,組織名
,,,,,,,テレフォニープラットフォーム,テレフォニープラットフォーム,,その他
,,,,,,,CT-e1/SaaS,シーティーイーワンサース,,製品名
,,,,,,,パワハラ,パワハラ,,その他
,,,,,,,ウェブコム,ウェブコム,,組織名
,,,,,,,クラウドPBX,クラウドピービーエックス,,製品名
,,,,,,,FortiGate,フォーティーゲット,,製品名
,,,,,,,村田,ムラタ,,人名
,,,,,,,エーアイスクエア,エーアイスクエア,,組織名
,,,,,,,宇都宮,ウツノミヤ,,地名
,,,,,,,エーエスピーアール,エーエスピーアール,,組織名
,,,,,,,サム,サム,,その他
,,,,,,,株式会社オルツ,オルツ,,組織名
,,,,,,,コスダック,コスダック,,組織名
,,,,,,,津山,ツヤマ,,地名
,,,,,,,アクティブ・ラーニング,アクティブラーニング,,その他
,,,,,,,フレコンバック,フレコンバック,,その他
,,,,,,,シフトベース,シフトベース,,組織名
,,,,,,,函館,ハコダテ,,地名
,,,,,,,社労士,シャローシ,,その他
,,,,,,,対馬海峡,ツシマカイキョウ,,その他
,,,,,,,エンジニアリング,エンジニアリング,,その他
,,,,,,,日本製紙,ニッポンセイシ,　,組織名
,,,,,,,DM,ダイレクトメール,ディーエム,その他
,,,,,,,熊本,クマモト,,地名
,,,,,,,八代,ヤツシロ,,地名
,,,,,,,東京,トーキョー,,地名
,,,,,,,ブロックチェーン,ブロックチェーン,,その他
,,,,,,,分記法,ブンキホー,,その他
,,,,,,,NFP,エヌエフピー,,その他
,,,,,,,デプロイ,デプロイ,,その他
,,,,,,,MHPS,エムエイチピーエス,,組織名
,,,,,,,岩沼,イワヌマ,,地名
,,,,,,,宮城,ミヤギ,,地名
,,,,,,,循環流動層ボイラー,ジュンカンリュウドウソウボイラー,,製品名
,,,,,,,秋田,アキタ,,地名
,,,,,,,ボードメンバー,ボードメンバー,,その他
,,,,,,,GビズID,ジービズアイディー,,その他
,,,,,,,アッシュコンベヤ,アッシュコンベヤ,,その他
,,,,,,,IT,アイティー,,その他
,,,,,,,岡山,オカヤマ,,地名
,,,,,,,静岡,シズオカ,,地名
,,,,,,,社会保険労務士,シャカイホケンロームシ,,その他
,,,,,,,The European Biochar Certificate,ヨーロピアンバイオチャーサーティフィキット,,その他
,,,,,,,スウェーデン,スウェーデン,,地名
,,,,,,,太平電業株式会社,タイヘイデンギョウカブシキガイシャ,,組織名
,,,,,,,EPC,イーピーシー,,その他
,,,,,,,Cortus,コルタス,,組織名
,,,,,,,ふもとっぱら,フモトッパラ,,その他
,,,,,,,福島商店,フクシマショウテン,,組織名
,,,,,,,日本コムシス,二ホンコムシス,,組織名
,,,,,,,ACP,エーシーピー,,製品名
,,,,,,,JPX,ジェーピーエックス,,組織名
,,,,,,,日本証券取引所,二ホンショウケントリヒキジョ,,組織名
,,,,,,,AMI,アミ,,組織名
,,,,,,,なおこさん,ナオコサン,,人名
,,,,,,,今沢さん,イマサワサン,,人名
,,,,,,,小倉さん,オグラサン,,人名
,,,,,,,The Leading Nurse,リーディングナース,,製品名
,,,,,,,ジェニシス,ジェニシス,,組織名
,,,,,,,乗鞍,ノリクラ,,地名
,,,,,,,ゼロカーボンパーク,ゼロカーボンパーク,,その他
,,,,,,,FORESTRISE,フォレストライズ,,その他
,,,,,,,公益通報制度,コウエキツウホウセイド,,その他
,,,,,,,PCR検査キット,ピーシーアールケンサキット,,その他
,,,,,,,抗原検査キット,コウゲンケンサキット,,その他
,,,,,,,JCP,ジェーシーピー,,製品名
,,,,,,,SLA,エスエルエー,,製品名
,,,,,,,エンタープライズアジャイル,エンタープライズアジャイル,,その他
,,,,,,,PI Planning,ピーアイプランニング,,その他
,,,,,,,KPMG,ケーピーエムジー,,組織名
,,,,,,,ソフトバンクホークス,ソフトバンクホークス,,組織名
,,,,,,,玉木さん,タマキサン,,人名
,,,,,,,柏康生さん,カシワコウセイサン,,人名
,,,,,,,醍醐さん,ダイゴサン,,人名
,,,,,,,TDCソフト株式会社,ティーディーシーソフトカブシキガイシャ,,組織名
,,,,,,,経産省,ケイサンショウ,,組織名
,,,,,,,NFTコレクション,エヌエフティーコレクション,,組織名
,,,,,,,シフトベース,シフトベース,,組織名
,,,,,,,カルチュア・コンビニエンス・クラブ,カルチュア・コンビニエンス・クラブ,,組織名
,,,,,,,蔦屋,ツタヤ,,組織名
,,,,,,,Tポイント,ティーポイント,,その他
,,,,,,,シードラウンド,シードラウンド,,その他
,,,,,,,ITreview,アイティーレビュー,,製品名
,,,,,,,PPAP,ピーピーエーピー,,その他
,,,,,,,HENNGE,ヘンゲ,,製品名
,,,,,,,iPaaS,アイパース,,その他
,,,,,,,OpenLegacy,オープンレガシー,,組織名
,,,,,,,API,エーピーアイ,,その他
,,,,,,,R&D,アールアンドディー,,組織名
,,,,,,,iPad,アイパッド,,製品名
,,,,,,,Styleflow,スタイルフロー,,製品名
,,,,,,,帝国データバンク,テイコクデータバンク,,組織名
,,,,,,,NTTデータ,エヌティーティーデータ,,組織名
,,,,,,,優,ユウ,,人名
,,,,,,,Dell,デル,,組織名
,,,,,,,CADMAC,キャドマック,,製品名
,,,,,,,チャリンチャリンビジネス, チャリンチャリンビジネ,,その他
,,,,,,,パフォーマンスチャージ,パフォーマンスチャージ,,その他
,,,,,,,琉球銀行,リュウキュウギンコウ,,組織名
,,,,,,,株式会社佐野,カブシキガイシャサノ,,組織名
,,,,,,,共感の場,キョウカンノバ,,その他
,,,,,,,SOHO,ソーホー,,その他
,,,,,,,北川,キタガワ,,人名
,,,,,,,Xerox ,ゼロックス,,組織名
,,,,,,,フルリモート,フルリモート,,その他
,,,,,,,フルフレックス　,フルフレックス,,その他
,,,,,,,リモート,リモート,,その他
,,,,,,,スキーム,スキーム,,その他
,,,,,,,インクルード,インクルード,,その他
,,,,,,,フリーワーク,フリーワーク,,その他
,,,,,,,非同期,ヒドーキ,,その他
,,,,,,,チャット,チャット,,その他
,,,,,,,最賃,サイチン,,その他
,,,,,,,コミットメント,コミットメント,,その他
,,,,,,,レンジ,レンジ,,その他
,,,,,,,ゼロイチ,ゼロイチ,,その他
,,,,,,,城北,ジョーホク,,地名
,,,,,,,北関東,キタカントー,,地名
,,,,,,,筑波,ツクバ,,地名
,,,,,,,高崎,タカサキ,,地名
,,,,,,,クラウド,クラウド,,その他
,,,,,,,福田,フクダ,,人名
,,,,,,,高山,タカヤマ,,人名
,,,,,,,千葉,チチバ,,地名
,,,,,,,京葉,ケイヨー,,地名
,,,,,,,佐野,サノ,,人名
,,,,,,,Excel,エクセル,,その他
,,,,,,,SES,エスイーエス,,その他
,,,,,,,セゾンファンデックス,セゾンファンデックス,,組織名
,,,,,,,PMP,ピーエムピー,,製品名
,,,,,,,三井リース,ミツイリース,,組織名
,,,,,,,OEM,オーイーエム,,その他
,,,,,,,城西,ジョーサイ,,地名
,,,,,,,五反田,ゴタンダ,,地名
,,,,,,,天王洲,テンノーズ,,地名
,,,,,,,ITコンサルタント,アイティーコンサルタント,,その他
,,,,,,,金子,カネコ,,人名
,,,,,,,茂木,モギ,,人名
,,,,,,,,コーチェット,,組織名
,,,,,,,労働基準法,ロードーキジュンホー,ロウドウキジュンホウ,その他
,,,,,,,バーンレート,バーンレート,,
,,,,,,,GREE,グリー,,その他
,,,,,,,ヨンナビ,ヨンナビ,,製品名
,,,,,,,Buyペイ,バイペイ,,組織名
